"region","name","name.short","method","sex","age","adult","tstart","tend","days","median.long","median.lat","uere.calibtration","color","speed.est","speed.high","speed.low","tau.position.est","tau.position.high","tau.position.low","tau.velocity.est","tau.velocity.high","tau.velocity.low","area.low","area.est","area.high","x.df","y.df","cell.area","total.cells","forest","floodplain","pasture","crop","dirt","savannah","water","urban","plantation"
"Pantanal","PA_58_LIANA","LIANA","GPS+VHF","FEMALE","ADULT","Yes",2016-08-11,2017-08-29 09:00:00,383.375,-55.73743,-19.31623,TRUE,"#4477AA",13.3149123327695,13.7090963300655,12.9205686799513,0.155545511900612,0.166568197921747,0.14525225447771,0.313784755429965,0.347278006580178,0.283521763182865,2.23702050070017,2.3433273400969,2.45206723104551,1824.37720278857,1824.37720278857,100,23380,0.759880239520958,0.240119760479042,0,0,0,0,0,0,0
"Pantanal","PA_59_POPEYE","POPEYE","GPS+VHF","MALE","ADULT","Yes",2016-08-15,2017-04-13 12:00:00,241.5,-55.74403,-19.320715,TRUE,"#4477AA",13.5390201532363,14.0673396428907,13.0104198142319,0.224603427444182,0.24678449173803,0.204416003876065,0.316785134971565,0.361005242836345,0.277981618633848,4.86180031484363,5.21059765804203,5.57130668758895,828.565209836992,828.565209836992,100,51893,0.702888636232247,0.297111363767753,0,0,0,0,0,0,0
"Pantanal","PA_61_DOINHO","DOINHO","GPS","MALE","SUB-ADULT","No",2018-06-25,2018-12-17 01:00:00,175.041666666667,-55.75959,-19.30595,TRUE,"#4477AA",6.70901820177582,6.90321365395831,6.51474582709017,0.529369173054814,0.620194847369844,0.451844646193304,0.562703688308354,0.628296981749092,0.503958239548368,2.90357092121972,3.30223929097112,3.72618051694299,247.444570297935,247.444570297935,100,32847,0.619295521661035,0.380704478338965,0,0,0,0,0,0,0
"Pantanal","PA_62_PRETINHO","PRETINHO","GPS","MALE","SUB-ADULT","No",2018-08-24,2018-10-15 17:00:00,52.7083333333333,-55.81738,-19.30589,TRUE,"#4477AA",7.38603987206946,8.5641498230236,6.20579189568218,0.364916926112493,0.482505964178753,0.275984905575296,0.274564080075427,0.488732808599179,0.154246722833561,1.38547123448244,1.69288447293259,2.03063912490949,105.619686478905,105.619686478905,100,16830,0.943731431966726,0.0562685680332739,0,0,0,0,0,0,0
"Pantanal","PA_64_COLUMBUS","COLUMBUS","GPS","MALE","SUB-ADULT","No",2019-08-15,2019-08-26 20:00:00,11.8333333333333,-55.74894,-19.30714,TRUE,"#4477AA",7.55642679431162,8.82283414643724,6.28765849696491,0.202455700445408,0.391807252392616,0.104613455704408,0.447118732560168,1.08803716678559,0.183739275742597,1.061568290341,1.4959183116865,2.00359505097274,38.572509977609,38.572509977609,100,14887,0.735272385302613,0.264727614697387,0,0,0,0,0,0,0
"Pantanal","PA_65_VALENTINA","VALENTINA","GPS","FEMALE","SUB-ADULT","No",2018-09-01,2018-12-09 02:00:00,99.0833333333333,-55.76778,-19.29463,TRUE,"#4477AA",9.55001677312694,10.0213275195912,9.07839109286218,0.62862203789034,0.765599110196028,0.516152201927487,0.307819948041296,0.36269884568861,0.2612446153013,2.92672118190451,3.47387840673694,4.0672302674581,142.381399032604,142.381399032604,100,34566,0.605247931493375,0.394752068506625,0,0,0,0,0,0,0
"Pantanal","PA_67_CARMINHA","CARMINHA","GPS","FEMALE","SUB-ADULT","No",2018-10-22,2018-12-07 19:00:00,46.7916666666667,-55.75129,-19.32325,TRUE,"#4477AA",8.34571246456119,8.92540381848277,7.76548477136866,0.108540431023586,0.139444142056128,0.0844856226519995,0.470992598815557,0.655340346323307,0.338502015607005,1.09044034342725,1.23363960983808,1.38554500442174,268.347048537579,268.347048537579,100,12267,0.756338142985245,0.243661857014755,0,0,0,0,0,0,0
"Pantanal","PA_68_FAROFO","FAROFO","GPS","MALE","ADULT","Yes",2017-08-23,2018-08-28 19:00:00,370.791666666667,-55.768225,-19.28942,TRUE,"#4477AA",12.114570607574,12.3042350168998,11.9248654073596,0.203433740590656,0.218233794540705,0.189637388186397,0.496877534488923,0.529959342720446,0.465860801721961,4.14998421047241,4.36973750465469,4.59508034563388,1480.83874260074,1480.83874260074,100,44060,0.489763958238765,0.510236041761235,0,0,0,0,0,0,0
"Pantanal","PA_69_ANGELINA","ANGELINA","GPS","FEMALE","ADULT","Yes",2017-08-27,2018-02-17 21:00:00,174.875,-55.80435,-19.28268,TRUE,"#4477AA",10.9948453719515,11.378248309627,10.611259929755,0.387294020310475,0.437401701395984,0.342926553988087,0.354079153434798,0.397406166423731,0.31547584685293,3.60314249535069,3.98932960017669,4.39489371192662,389.926876801361,389.926876801361,100,39693,0.704582672007659,0.293502632706019,0.00191469528632253,0,0,0,0,0,0
"Pantanal","PA_71_SIDNEY","SIDNEY","GPS","FEMALE","ADULT","Yes",2017-10-28,2018-03-11 19:00:00,134.791666666667,-55.76288,-19.327455,TRUE,"#4477AA",10.8607211904524,11.3346382532801,10.3865231271466,0.204336381716996,0.231441722746364,0.180405487816693,0.354920789942278,0.413211818417636,0.304852769254371,2.0706289936561,2.26886918867223,2.47604188270639,481.084791991185,481.084791991185,100,22567,0.576594141888598,0.423405858111402,0,0,0,0,0,0,0
